title,district,company,salary_min,salary_max,demand,company_info,tag,comment
SPBU-图像应用算法工程师,天河区,酷狗音乐,25,45,"
经验3-5年/本科","音频｜视频媒体,短视频 / 上市公司 / 500-2000人","图像算法
                                                                    美颜
                                                                    3D特效",“发展空间大、绩效奖金、年终奖金、员工旅游”
高级推荐算法工程师 (MJ003257),番禺区,欢聚集团（JOYY Inc.）,30,60,"
经验3-5年/本科","社交媒体,MCN｜直播平台 / 上市公司 / 2000人以上","算法
                                                                    推荐算法",“健身房；餐补；免费咖啡”
数据挖掘（亿迅校招，广州）,海珠区,广东亿迅,8,12,经验在校/应届/硕士,"软件服务｜咨询,IT技术服务｜咨询,网络通信 / 不需要融资 / 2000人以上",数据分析,“国企 五险一金 周末双休”
高级数据挖掘工程师 (MJ002770),番禺区,欢聚集团（JOYY Inc.）,25,35,"
经验3-5年/本科","社交媒体,MCN｜直播平台 / 上市公司 / 2000人以上",数据挖掘,“大平台，机会多”
算法优化工程师,车陂,深声科技,25,35,"
经验3-5年/本科",人工智能服务 / 天使轮 / 50-150人,"智能语音
                                                                    深度学习
                                                                    CNN",“人工智能 周末双休 餐补下午茶 社保公积金”
算法工程师（深度学习）,琶洲,ImageDT图匠数据,4,6,经验在校/应届/硕士,"人工智能服务,软件服务｜咨询 / B轮 / 150-500人","算法工程师
                                                                    检测
                                                                    识别
                                                                    图像","“人工智能,黑科技,平台大,氛围好”"
推荐算法工程师-2021届校招,珠江新城,趣丸,10,20,"
经验在校/应届/本科",游戏 / 不需要融资 / 500-2000人,推荐算法,“六险一金、包三餐、大牛多”
SPBU-数据挖掘工程师（风控）,东圃,酷狗音乐,25,40,"
经验3-5年/本科","音频｜视频媒体,短视频 / 上市公司 / 500-2000人","数据挖掘
                                                                    风控",“发展空间大、年终奖、周末双休、免费咖啡”
算法研究工程师,黄埔区,紫为云（北京）智能科技有限公司,25,50,"
经验3-5年/不限",人工智能服务 / 不需要融资 / 15-50人,"移动互联网
                                                                    深度学习",“前沿行业、清华团队、薪资福利好”
高级音频编解码算法工程师 (MJ000403),番禺区,欢聚集团（JOYY Inc.）,35,55,"
经验5-10年/本科","社交媒体,MCN｜直播平台 / 上市公司 / 2000人以上",移动互联网,"“福利多,平台大”"
人脸专项算法工程师,黄埔区,紫为云（北京）智能科技有限公司,10,20,"
经验在校/应届/本科",人工智能服务 / 不需要融资 / 15-50人,"深度学习
                                                                    人脸识别
                                                                    目标检测",“前沿行业、清华团队、薪资福利好”
语音评测算法工程师 (MJ003674),番禺区,欢聚集团（JOYY Inc.）,20,40,"
经验3-5年/硕士","社交媒体,MCN｜直播平台 / 上市公司 / 2000人以上",语音识别,“大平台，机会多”
